order_id,date,product_id,product_name,quantity_ordered,unit_cost,total_cost,supplier_email,status,ai_predicted_demand,actual_demand_30days
ORD-000845,2025-07-11,P002,Mouse Wireless,43,1000,43000,jagannath.backup.2005@gmail.com,Delivered,36,51
ORD-000846,2025-07-11,P014,Desk Lamp,25,1200,30000,jagannath.backup.2005@gmail.com,In Transit,21,24
ORD-000847,2025-07-11,P010,External HDD,48,5500,264000,jagannath.backup.2005@gmail.com,Delivered,57,35
ORD-000848,2025-07-16,P006,Webcam HD,25,2300,57500,jagannath.backup.2005@gmail.com,Delivered,26,21
ORD-000849,2025-07-16,P011,USB Cable,58,650,37700,jagannath.backup.2005@gmail.com,In Transit,56,44
ORD-000850,2025-07-16,P001,Laptop Dell XPS,19,62500,1187500,jagannath.backup.2005@gmail.com,Delivered,16,21
ORD-000851,2025-07-17,P003,Keyboard Mechanical,32,2800,89600,jagannath.backup.2005@gmail.com,Delivered,28,33
ORD-000852,2025-07-17,P005,Printer HP,20,10000,200000,jagannath.backup.2005@gmail.com,In Transit,24,25
ORD-000853,2025-07-18,P009,Speaker Bluetooth,10,1800,18000,jagannath.backup.2005@gmail.com,Delivered,8,8
ORD-000854,2025-07-18,P005,Printer HP,17,10000,170000,jagannath.backup.2005@gmail.com,Delivered,15,15
ORD-000855,2025-07-18,P005,Printer HP,48,10000,480000,jagannath.backup.2005@gmail.com,Delivered,48,39
ORD-000856,2025-07-22,P002,Mouse Wireless,74,1000,74000,jagannath.backup.2005@gmail.com,Delivered,60,51
ORD-000857,2025-07-23,P011,USB Cable,53,650,34450,jagannath.backup.2005@gmail.com,Delivered,56,64
ORD-000858,2025-07-25,P003,Keyboard Mechanical,44,2800,123200,jagannath.backup.2005@gmail.com,Delivered,46,48
ORD-000859,2025-07-25,P009,Speaker Bluetooth,19,1800,34200,jagannath.backup.2005@gmail.com,In Transit,17,13
ORD-000860,2025-07-25,P005,Printer HP,33,10000,330000,jagannath.backup.2005@gmail.com,Delivered,31,29
ORD-000861,2025-07-28,P014,Desk Lamp,36,1200,43200,jagannath.backup.2005@gmail.com,Delivered,35,30
ORD-000862,2025-07-28,P013,Phone Case,42,650,27300,jagannath.backup.2005@gmail.com,In Transit,33,34
ORD-000863,2025-07-28,P012,Power Bank,31,1600,49600,jagannath.backup.2005@gmail.com,In Transit,36,28
ORD-000864,2025-07-29,P002,Mouse Wireless,68,1000,68000,jagannath.backup.2005@gmail.com,Delivered,81,77
ORD-000865,2025-07-29,P004,Monitor 24inch,22,15000,330000,jagannath.backup.2005@gmail.com,In Transit,22,19
ORD-000866,2025-07-29,P014,Desk Lamp,24,1200,28800,jagannath.backup.2005@gmail.com,Delivered,19,22
ORD-000867,2025-07-30,P014,Desk Lamp,14,1200,16800,jagannath.backup.2005@gmail.com,Delivered,13,17
ORD-000868,2025-07-30,P007,Headphones Bluetooth,44,3800,167200,jagannath.backup.2005@gmail.com,Delivered,35,33
ORD-000869,2025-08-01,P005,Printer HP,12,10000,120000,jagannath.backup.2005@gmail.com,Delivered,13,14
ORD-000870,2025-08-01,P006,Webcam HD,30,2300,69000,jagannath.backup.2005@gmail.com,In Transit,33,37
ORD-000871,2025-08-01,P002,Mouse Wireless,69,1000,69000,jagannath.backup.2005@gmail.com,Delivered,63,50
ORD-000872,2025-08-03,P011,USB Cable,45,650,29250,jagannath.backup.2005@gmail.com,Delivered,49,33
ORD-000873,2025-08-03,P011,USB Cable,62,650,40300,jagannath.backup.2005@gmail.com,Delivered,70,50
ORD-000874,2025-08-03,P012,Power Bank,29,1600,46400,jagannath.backup.2005@gmail.com,Delivered,33,33
ORD-000875,2025-08-04,P005,Printer HP,45,10000,450000,jagannath.backup.2005@gmail.com,Delivered,42,44
ORD-000876,2025-08-04,P011,USB Cable,68,650,44200,jagannath.backup.2005@gmail.com,Delivered,73,83
ORD-000877,2025-08-04,P005,Printer HP,35,10000,350000,jagannath.backup.2005@gmail.com,Delivered,32,33
ORD-000878,2025-08-05,P010,External HDD,30,5500,165000,jagannath.backup.2005@gmail.com,In Transit,31,35
ORD-000879,2025-08-05,P011,USB Cable,47,650,30550,jagannath.backup.2005@gmail.com,In Transit,42,53
ORD-000880,2025-08-05,P002,Mouse Wireless,56,1000,56000,jagannath.backup.2005@gmail.com,Delivered,46,54
ORD-000881,2025-08-07,P003,Keyboard Mechanical,11,2800,30800,jagannath.backup.2005@gmail.com,Delivered,9,14
ORD-000882,2025-08-14,P004,Monitor 24inch,19,15000,285000,jagannath.backup.2005@gmail.com,Delivered,16,19
ORD-000883,2025-08-14,P004,Monitor 24inch,21,15000,315000,jagannath.backup.2005@gmail.com,In Transit,16,22
ORD-000884,2025-08-15,P008,Tablet Samsung,9,20000,180000,jagannath.backup.2005@gmail.com,In Transit,9,9
ORD-000885,2025-08-24,P014,Desk Lamp,50,1200,60000,jagannath.backup.2005@gmail.com,Delivered,56,50
